date,active_cases,new_cases
2020-10-01,16,16
2020-10-02,28,8
2020-10-05,72,51
2020-10-06,113,39
2020-10-07,135,29
2020-10-08,144,18
2020-10-09,147,11
2020-10-12,220,100
2020-10-13,247,48
2020-10-14,288,66
2020-10-15,324,48
2020-10-16,326,39
2020-10-19,331,114
2020-10-20,304,44
2020-10-21,293,28
2020-10-22,270,26
2020-10-23,250,23
2020-10-26,157,35
2020-10-27,160,33
2020-10-28,143,42
2020-10-29,117,27
2020-10-30,111,26
2020-11-02,89,11
2020-11-03,87,19
2020-11-04,78,13
2020-11-05,66,5 
2020-11-06,62,4
2020-11-09,50,8
2020-11-10,62,23
2020-11-11,65,8
2020-11-12,68,10
2020-11-13,73,10
2020-11-16,60,2
2020-11-17,63,10
2020-11-18,55,5
2020-11-19,46,1
2020-11-20,44,5
2020-11-23,37,4
2020-11-24,35,4
2020-11-25,40,8
2020-11-26,47,7
2020-11-27,48,11
2020-11-30,45,3
2020-12-01,41,0
2020-12-02,40,1
2020-12-03,36,3
2020-12-04,28,0
2020-12-07,11,0
2020-12-08,9,1
2020-12-09,10,1
2020-12-10,11,1
2020-12-11,10,1
2020-12-14,6,0
2020-12-15,6,0
2020-12-16,7,2
2020-12-17,7,1
2020-12-18,7,1
2021-01-05,10,7
2021-01-06,25,5
2021-01-07,39,16
2021-01-08,44,4
2021-01-11,51,5
2021-01-12,55,6
2021-01-13,44,5
2021-01-14,35,1
2021-01-15,37,7
2021-01-18,32,1
2021-01-19,36,10
2021-01-20,44,9
2021-01-21,41,5
2021-01-22,40,2
2021-01-25,31,0
2021-01-26,27,1
2021-01-27,31,4
2021-01-28,29,6
2021-01-29,29,4
2021-02-01,34,12
2021-02-02,37,6
2021-02-03,40,3
2021-02-04,42,2
2021-02-05,38,0
2021-02-08,27,1
2021-02-09,9,1
2021-02-10,21,0
2021-02-11,13,0
2021-02-12,9,1
2021-02-15,9,0
2021-02-16,9,2
2021-02-17,10,2
2021-02-18,8,2
2021-02-19,10,1
2021-02-22,12,0
2021-02-25,9,0
2021-03-01,5,2
2021-03-02,7,1
2021-03-04,7,0
2021-03-05,4,0
2021-03-08,3,0
2021-03-09,7,4
2021-03-10,8,1
2021-03-11,6,1
